id,in,out,total,,,,,
711,1,2,3,,,,,
712,0,2,2,,,,,
713,3,2,5,,,,,
714,1,1,2,,,,,
715,1,1,2,,,,,
716,0,3,3,,,,,
717,1,1,2,,,,,
718,1,0,1,,,,,
719,2,2,4,,,,,
720,4,3,7,,,,,
721,1,1,2,,,,,
722,1,1,2,,,,,
723,2,3,5,,,,,
724,1,1,2,,,,,
725,3,3,6,,,,,
726,1,1,2,,,,,
727,2,2,4,,,,,
728,1,1,2,,,,,
729,1,1,2,,,,,
730,1,1,2,,,,,
731,1,3,4,,,,,
732,1,2,3,,,,,
733,2,1,3,,,,,
734,0,2,2,,,,,
735,1,3,4,,,,,
736,1,1,2,,,,,
737,1,1,2,,,,,
738,2,2,4,,,,,
739,2,1,3,,,,,
740,3,2,5,,,,,
741,1,1,2,,,,,
742,1,3,4,,,,,
743,0,2,2,,,,,
744,2,0,2,,,,,
745,4,2,6,,,,,
746,1,2,3,,,,,
747,1,1,2,,,,,
748,2,2,4,,,,,
749,1,1,2,,,,,
750,2,2,4,,,,,
751,1,1,2,,,,,
752,1,1,2,,,,,
753,1,2,3,,,,,
754,1,2,3,,,,,
755,1,2,3,,,,,
756,1,1,2,,,,,
757,5,7,12,,,,,
758,1,1,2,,,,,
759,1,2,3,,,,,
760,1,1,2,,,,,
761,1,1,2,,,,,
762,3,3,6,,,,,
763,1,2,3,,,,,
764,2,4,6,,,,,
765,2,0,2,,,,,
766,2,0,2,,,,,
767,5,2,7,,,,,
768,1,2,3,,,,,
769,3,1,4,,,,,
770,2,2,4,,,,,
771,0,2,2,,,,,
772,1,2,3,,,,,
773,2,2,4,,,,,
774,4,1,5,,,,,
775,2,0,2,,,,,
776,1,3,4,,,,,
777,4,4,8,,,,,
778,2,3,5,,,,,
779,1,2,3,,,,,
780,2,0,2,,,,,
781,1,0,1,,,,,
782,1,1,2,,,,,
783,3,2,5,,,,,
784,0,2,2,,,,,
785,3,4,7,,,,,
786,1,1,2,,,,,
787,1,1,2,,,,,
788,4,4,8,,,,,
789,1,1,2,,,,,
790,1,2,3,,,,,
791,1,2,3,,,,,
792,1,1,2,,,,,
793,2,3,5,,,,,
794,1,1,2,,,,,
795,1,0,1,,,,,
796,1,1,2,,,,,
797,2,4,6,,,,,
798,2,1,3,,,,,
799,1,1,2,,,,,
800,3,4,7,,,,,
801,1,1,2,,,,,
802,2,3,5,,,,,
803,1,1,2,,,,,
804,4,1,5,,,,,
805,2,0,2,,,,,
806,1,1,2,,,,,
807,1,1,2,,,,,
808,4,4,8,,,,,
809,1,1,2,,,,,
810,2,0,2,,,,,
811,1,3,4,,,,,
812,2,1,3,,,,,
813,2,3,5,,,,,
814,2,1,3,,,,,
815,2,0,2,,,,,
816,1,1,2,,,,,
817,1,1,2,,,,,
818,2,2,4,,,,,
819,1,0,1,,,,,
820,1,0,1,,,,,
821,2,0,2,,,,,
822,1,1,2,,,,,
823,2,0,2,,,,,
824,1,0,1,,,,,
825,1,0,1,,,,,
826,2,0,2,,,,,
827,0,2,2,,,,,
828,1,1,2,,,,,
829,1,2,3,,,,,
830,0,2,2,,,,,
831,3,2,5,,,,,
832,1,1,2,,,,,
833,1,1,2,,,,,
834,0,3,3,,,,,
835,1,1,2,,,,,
836,1,0,1,,,,,
